home,away,home_score,away_score,postseason,date
Berry,Centre,3,0,False,2017-10-1
Millsaps,Hendrix,3,1,False,2017-10-1
Birmingham-Southern,Rhodes,3,1,False,2017-10-1
Oglethorpe,Sewanee,0,3,False,2017-10-1
Rhodes,Hendrix,0,3,False,2017-10-4
Berry,Hendrix,3,2,False,2017-10-6
Oglethorpe,Hendrix,1,3,False,2017-10-7
Sewanee,Birmingham-Southern,0,3,False,2017-10-7
Centre,Millsaps,2,3,False,2017-10-7
Berry,Rhodes,3,0,False,2017-10-7
Sewanee,Millsaps,2,3,False,2017-10-8
Centre,Birmingham-Southern,0,3,False,2017-10-8
Oglethorpe,Rhodes,3,1,False,2017-10-8
Centre,Sewanee,0,3,False,2017-10-12
Birmingham-Southern,Oglethorpe,3,0,False,2017-10-13
Millsaps,Oglethorpe,3,0,False,2017-10-14
Birmingham-Southern,Berry,1,3,False,2017-10-14
Hendrix,Centre,2,3,False,2017-10-14
Rhodes,Sewanee,1,3,False,2017-10-14
Millsaps,Berry,0,3,False,2017-10-15
Rhodes,Centre,1,3,False,2017-10-15
Hendrix,Sewanee,3,1,False,2017-10-15
Millsaps,Birmingham-Southern,1,3,False,2017-10-18
Sewanee,Oglethorpe,3,1,False,2017-10-21
Hendrix,Millsaps,3,0,False,2017-10-21
Centre,Berry,0,3,False,2017-10-21
Rhodes,Birmingham-Southern,0,3,False,2017-10-21
Sewanee,Berry,0,3,False,2017-10-22
Centre,Oglethorpe,1,3,False,2017-10-22
Hendrix,Birmingham-Southern,3,1,False,2017-10-22
Rhodes,Millsaps,0,3,False,2017-10-22
Oglethorpe,Berry,0,3,True,2017-11-3
Sewanee,Millsaps,2,3,True,2017-11-3
Rhodes,Birmingham-Southern,0,3,True,2017-11-3
Centre,Hendrix,1,3,True,2017-11-3
Millsaps,Berry,2,3,True,2017-11-4
Hendrix,Birmingham-Southern,2,3,True,2017-11-4
Birmingham-Southern,Berry,0,3,True,2017-11-5
Oglethorpe,Berry,0,3,False,2018-9-12
Birmingham-Southern,Millsaps,3,0,False,2018-9-12
Rhodes,Hendrix,2,3,False,2018-9-12
Berry,Sewanee,3,0,False,2018-9-14
Oglethorpe,Sewanee,1,3,False,2018-9-15
Rhodes,Birmingham-Southern,0,3,False,2018-9-15
Hendrix,Millsaps,3,0,False,2018-9-15
Berry,Centre,3,0,False,2018-9-15
Oglethorpe,Centre,3,2,False,2018-9-16
Hendrix,Birmingham-Southern,3,1,False,2018-9-16
Rhodes,Millsaps,3,1,False,2018-9-16
Centre,Sewanee,1,3,False,2018-9-18
Birmingham-Southern,Berry,2,3,False,2018-9-21
Millsaps,Berry,0,3,False,2018-9-22
Hendrix,Sewanee,3,2,False,2018-9-22
Birmingham-Southern,Oglethorpe,3,0,False,2018-9-22
Rhodes,Centre,3,2,False,2018-9-22
Hendrix,Centre,3,2,False,2018-9-23
Millsaps,Oglethorpe,3,1,False,2018-9-23
Rhodes,Sewanee,1,3,False,2018-9-23
Berry,Hendrix,3,0,False,2018-9-29
Sewanee,Millsaps,3,1,False,2018-9-29
Oglethorpe,Rhodes,0,3,False,2018-9-29
Centre,Birmingham-Southern,0,3,False,2018-9-29
Berry,Rhodes,3,1,False,2018-9-30
Oglethorpe,Hendrix,0,3,False,2018-9-30
Centre,Millsaps,3,1,False,2018-9-30
Sewanee,Birmingham-Southern,0,3,False,2018-9-30
Berry,Oglethorpe,3,0,False,2018-10-3
Hendrix,Rhodes,3,0,False,2018-10-3
Centre,Oglethorpe,0,3,False,2018-10-6
Birmingham-Southern,Hendrix,3,1,False,2018-10-6
Millsaps,Rhodes,3,2,False,2018-10-6
Sewanee,Berry,1,3,False,2018-10-6
Centre,Berry,0,3,False,2018-10-7
Sewanee,Oglethorpe,3,0,False,2018-10-7
Birmingham-Southern,Rhodes,3,2,False,2018-10-7
Millsaps,Hendrix,0,3,False,2018-10-7
Hendrix,Berry,0,3,False,2018-10-12
Birmingham-Southern,Centre,3,0,False,2018-10-12
Rhodes,Berry,0,3,False,2018-10-13
Millsaps,Centre,0,3,False,2018-10-13
Hendrix,Oglethorpe,3,0,False,2018-10-13
Birmingham-Southern,Sewanee,3,1,False,2018-10-13
Rhodes,Oglethorpe,3,2,False,2018-10-14
Millsaps,Sewanee,0,3,False,2018-10-14
Millsaps,Birmingham-Southern,0,3,False,2018-10-17
Sewanee,Centre,3,1,False,2018-10-18
Oglethorpe,Birmingham-Southern,0,3,False,2018-10-19
Berry,Millsaps,3,0,False,2018-10-19
Sewanee,Rhodes,3,0,False,2018-10-20
Berry,Birmingham-Southern,0,3,False,2018-10-20
Centre,Hendrix,0,3,False,2018-10-20
Oglethorpe,Millsaps,1,3,False,2018-10-20
Sewanee,Hendrix,3,2,False,2018-10-21
Centre,Rhodes,1,3,False,2018-10-21
Centre,Berry,0,3,True,2018-11-2
Rhodes,Sewanee,2,3,True,2018-11-2
Oglethorpe,Birmingham-Southern,0,3,True,2018-11-2
Millsaps,Hendrix,0,3,True,2018-11-2
Sewanee,Berry,2,3,True,2018-11-3
Hendrix,Birmingham-Southern,0,3,True,2018-11-3
Birmingham-Southern,Berry,0,3,True,2018-11-4
Centre,Sewanee,0,3,False,2019-9-13
Rhodes,Hendrix,0,3,False,2019-9-14
Oglethorpe,Berry,0,3,False,2019-9-18
Birmingham-Southern,Berry,3,2,False,2019-9-20
Millsaps,Berry,0,3,False,2019-9-21
Birmingham-Southern,Oglethorpe,3,1,False,2019-9-21
Centre,Rhodes,3,0,False,2019-9-21
Sewanee,Hendrix,0,3,False,2019-9-21
Millsaps,Oglethorpe,3,0,False,2019-9-22
Centre,Hendrix,0,3,False,2019-9-22
Sewanee,Rhodes,3,1,False,2019-9-22
Millsaps,Birmingham-Southern,1,3,False,2019-9-24
Centre,Oglethorpe,3,2,False,2019-9-28
Sewanee,Berry,2,3,False,2019-9-28
Rhodes,Birmingham-Southern,1,3,False,2019-9-28
Hendrix,Millsaps,3,0,False,2019-9-28
Centre,Berry,0,3,False,2019-9-29
Sewanee,Oglethorpe,3,1,False,2019-9-29
Hendrix,Birmingham-Southern,3,2,False,2019-9-29
Rhodes,Millsaps,1,3,False,2019-9-29
Berry,Rhodes,3,0,False,2019-10-4
Birmingham-Southern,Centre,3,0,False,2019-10-5
Millsaps,Sewanee,0,3,False,2019-10-5
Oglethorpe,Rhodes,1,3,False,2019-10-5
Berry,Hendrix,3,0,False,2019-10-5
Millsaps,Centre,3,2,False,2019-10-6
Oglethorpe,Hendrix,0,3,False,2019-10-6
Birmingham-Southern,Sewanee,3,1,False,2019-10-6
Sewanee,Centre,3,1,False,2019-10-8
Berry,Oglethorpe,3,0,False,2019-10-9
Berry,Millsaps,3,0,False,2019-10-11
Oglethorpe,Millsaps,0,3,False,2019-10-12
Hendrix,Centre,3,1,False,2019-10-12
Berry,Birmingham-Southern,1,3,False,2019-10-12
Rhodes,Sewanee,1,3,False,2019-10-12
Rhodes,Centre,1,3,False,2019-10-13
Hendrix,Sewanee,3,2,False,2019-10-13
Oglethorpe,Birmingham-Southern,0,3,False,2019-10-13
Birmingham-Southern,Millsaps,3,0,False,2019-10-15
Centre,Birmingham-Southern,0,3,False,2019-10-18
Rhodes,Berry,0,3,False,2019-10-19
Centre,Millsaps,0,3,False,2019-10-19
Hendrix,Oglethorpe,3,0,False,2019-10-19
Sewanee,Birmingham-Southern,0,3,False,2019-10-19
Rhodes,Oglethorpe,3,1,False,2019-10-20
Hendrix,Berry,1,3,False,2019-10-20
Sewanee,Millsaps,3,0,False,2019-10-20
Berry,Sewanee,3,2,False,2019-10-25
Oglethorpe,Sewanee,0,3,False,2019-10-26
Millsaps,Rhodes,3,1,False,2019-10-26
Birmingham-Southern,Hendrix,3,0,False,2019-10-26
Berry,Centre,3,1,False,2019-10-26
Oglethorpe,Centre,0,3,False,2019-10-27
Birmingham-Southern,Rhodes,3,2,False,2019-10-27
Millsaps,Hendrix,2,3,False,2019-10-27
Hendrix,Rhodes,3,2,False,2019-11-2
Rhodes,Berry,0,3,True,2019-11-8
Centre,Hendrix,2,3,True,2019-11-8
Oglethorpe,Birmingham-Southern,0,3,True,2019-11-8
Millsaps,Sewanee,2,3,True,2019-11-8
Hendrix,Berry,0,3,True,2019-11-9
Sewanee,Birmingham-Southern,0,3,True,2019-11-9
Berry,Birmingham-Southern,3,0,True,2019-11-10
